Caption,Likes,Views,Comments,Shares,Post Type,Creator
"York photo dump.

The Ranveer Show's UK Tour has brought us to this stunning city.

And now...

Horror returns on TRS.

Very few travel experiences have sunk in as deeply as this one.

We got here to shoot a couple of podcasts. 
But also discovered that this is one of England's oldest cities. 

It also happens to be one of the most haunted. 

And therefore, we decided to seek out some occultists here.

I live for ghost walks and horror themed experiences when I travel. Shot some edgy podcasts here. Can't wait to put them out! 

It's not easy to travel more than 7500 km away from home and shoot high quality podcasts. My brothers @akshattiiwari & @aayushtiiwari are with me on this legendary tour. We're making magic happen in this corner of the world.

For @theranveershowpodcast, we've already shot 9 epic episodes in the UK. A few more to go before we return to the motherland.

But TRS has GONE GLOBAL. And we will only continue to create content for a world audience!

Keep supporting us. We're on a mission to become India's voice to the world.

Now off to London for our last few shoots.

Can't wait to return to the historical, artistic, gothic, thrilling, ENCHANTING land of Yorkshire 👻

#TRSUKTour 🏹

India to the world, baby.",268544,,343,,Carousel,beerbiceps
"Thank you to the @beerbiceps & @ranveerallahbadia community. Love you all! ♥️

And love you @manchesterunited",164324,992213,1349,992213,Reel,beerbiceps
"Celebrated 10 mil subs by giving thanks at the temple of my childhood!

First Old Trafford visit ever. 
One & only love : @manchesterunited

Saved it for the day after the big milestone was crossed. 

Life is good ♥️",243600,,615,,Carousel,beerbiceps
10 MILLION SUBSCRIBER CELEBRATION 🏹,158152,990295,2025,990295,Reel,beerbiceps
"Champions League winner, Former German National Team captain, EPL Legend & Man City field general @ilkayguendogan on @theranveershowpodcast.

#TRSUKTour #TRSGoesGlobal #TheRanveerShow.

🇬🇧🇬🇧🇬🇧

Namaste from Manchester. 🇩🇪🙏🏻🇮🇳

Coming up soon...",242808,,3313,,Photo,beerbiceps
Manchester.,349847,,636,,Carousel,beerbiceps
"Don't fall for the cute smile you guys, I'm born to rewrite history.

Emperor energy only 👑

Can't stop, won't stop baby! ⭐️

---

Outfit : @thehouseofgovinda by @govindamehtaa 
Photo : @street_wala @jv_foto_factory",183442,,280,,Carousel,beerbiceps
"November dump. 
It's been a lightning fast pace of life⚡️⚡️⚡️

Physical health not in the best place.
Mental health kinda still intact thanks to my loved ones.

Becoming more of a hippie as every month passes by.
Sprinting away from societal norms, every chance I get!

Still chasing greatness.
Still trying to keep the inner child alive.

But the world is a harami.
Good thing that I'm its biggest one 👹

Psychosis kicking in.
So is my inner stillness.

Is it the time to leave for the mountains? 
Or is it time to start building more of them?

9 years in. 
9 years to go.

Half time on this career has got me winded, jaded, judged & much more.

But you can't rewrite history books without some struggle.

Struggle for breakfast. 
Consistency for lunch. 
Butter paneer for dinner always.

Watch out for the @indiasgotlatent episode with @maisamayhoon bhai. Legendary episode.",676490,,682,,Carousel,beerbiceps
"podcast done. 

Watch out for this release.

And seperately, watch out for Dec 19th. 
@mrbeast taking content to the next level.

What a soul. Can't wait for you all to see his REAL heart that came through on the episode.

Special thanks to my brothers @carryminati & @deepakchar7.

Ready for the Indian internet to break?

@theranveershowpodcast 🏹",1377284,,1613,,Carousel,beerbiceps
"Another viral podcast? Oh yes.

Shoutout to the ace @teambeerbiceps for shooting this, editing clips and taking over all your algorithms in a matter of 24 hours.

I keep saying it. We're only just getting started 🏹

Had a ball speaking with @itsrohitshetty & @ajaydevgn on @theranveershowpodcast. 2 of the most iconic media stalwarts of our times. Way too much to learn from them. Congrats to both bhaiyyas on the success of Singham Again.

This episode was a vibe tho...

Go watch 🔥🔥🔥

Location : @sunnsandhotel",819560,,599,,Carousel,beerbiceps
"Happy Diwali! Celebrating this year by announcing a new phase.

This is the first photo shot in our new podcast studio. 
We are entering a ""new season"".
I count this as ""season 2"" of @theranveershowpodcast.

Killing off the old TRS. 
Killing off limitations of the past.

Aiming for a new global identity.
Aiming for futuristic content creation.

India to the world, TRS has gone international.

Thank you so much for all your support, everyone. We're only at half time 😉

Hope this Diwali brings you as much prosperity as you have brought to us this year! 

@teambeerbiceps is deeply grateful!

New logo to be announced soon 🇮🇳🏹♥️

---

Styling : @rishhabhjain
Outfit : @white__maisondecouture 
Photo : @through_the_glass_eye",229615,,601,,Carousel,beerbiceps
"THIS VIDEO HAS BROKEN THE INDIAN INTERNET.

@carryminati & @deepakchar7 power 💥

---

#carryminati #youtubeindia #beerbiceps",2392078,13227363,6506,13227363,Reel,beerbiceps
"I've worked my socks off for what I have today.

It's not like we started the podcast and all of sudden we were national news.

Let's rewind a bit :
- Began working as a fitness trainer (went to people's houses to earn money).
- Ran a couple of YouTube channels for 4-5 years before we began the podcast.
- Cofounded a talent management firm called @monkentertainment out of a garage.
- Scaled my content career and business career simultaneously for years.
- Published content every second day for 10 years now. 
- Shot and released close to 900 podcasts.
- Cofounded a profitable tech business called @levelsupermind.
- Going global in YEAR 10 of my journey.

I've lost friends, romances, money, mental health & simplicity trying to get here.

Is this journey meant for everyone? Hell no. I've lived a deeply unbalanced life and I wouldn't wish this reality upon anyone.

I think life should be much more about love, family & spiritual growth than it should be about material progress.

But at this point, I know a story is being written for the history textbooks. I know that what my team @teambeerbiceps is building at this point, will be a case study for future generations.

I can't stop. At least not for a while.

Not everyone is born to be entrepreneurial. This reel is for the misfits, the dreamers & the ones that society calls ""crazy"".

At countless junctures, I've been discouraged, cancelled, hated upon & judged. 

My perpetual lesson has been : Keep carrying on. Think, execute, learn, ask & grow.

If life is hard and the goals are big, you're doing great my friend. Carry on. The suffering of today becomes the strength of tomorrow.

#career #motivation #beerbiceps",851063,8965929,2791,8965929,Reel,beerbiceps
"The final @naval post.

This podcast was shot in Singapore thanks to my dear friend @balajis.

We kick off our international expansion with this episode.

I could have shut down my English language YT channel long ago. But it was always a dream to shoot podcasts for a global audience.

 In the coming few weeks, we will be uploading more episodes shot with 'foreign' minds. 

Stay tuned because Indian podcasting is only getting started.

Keep following @theranveershowpodcast ⚡️",52439,582019,397,582019,Reel,beerbiceps
"Ready for this fam?

Naval Ravikant, the global internet's modern day Yoda like never before.

Only on @theranveershowpodcast.

#Naval #NavalRavikant",73372,599829,465,599829,Reel,beerbiceps
"TRS goes international tomorrow. 
Couldn't have dreamt of a better first guest than @naval. 

India to the world baby 🇮🇳💥♥️

#NavalRavikant #BeerBiceps

@theranveershowpodcast : 9 years of work are paying off at 9pm tomorrow.",144752,,1430,,Carousel,beerbiceps
"stories are what makes our lives magical✨

#TheRingsOfPowerOnPrime, finale episode out on 3rd Oct",30329,430635,110,430635,Reel,beerbiceps
"A deeply proactive Singapore trip before the hacking fiasco 😛🇸🇬

Shot 5 episodes on foreign soil for the first time. TRS is now officially INTERNATIONAL. The goal is to take Indian content to the world 🇮🇳♥️

One of my guests from these 5 episodes is revealed in this photo dump. And it's not @akshattiiwari 😛

The first, blockbuster episode from this trip releases this Friday. Going to break the podcast world globally 💥🇮🇳💪🏼",537227,,812,,Carousel,beerbiceps
"We're back 🚀 

#memes #reels #trs #BeerBiceps",346592,3017196,3897,3017196,Reel,beerbiceps
"@theranveershowpodcast is back. 
@ranveerallahbadia is back.

♥️ you God.

♥️ you all.

Thank you @youtubeindia & @aasthamalhotra1 ♥️🙏🏻",241897,1695359,4022,1695359,Reel,beerbiceps
"Checking in from Singapore to share with you guys that I had one of the biggest days of my career ⚡️

TRS finally went international today. 
The internet isn't ready for our next guest...

Grateful to God so I point to the sky. 🔱🙏🏻
Grateful to my sunflower so I point my bat at her after scoring this century. 🌻🏏

More announcements soon. Special thanks to my brother @balajis for making this happen. Any guesses who the guest is? 💪🏼😉

2024 - The year of evolution. Death like lows & heaven like highs. 

Thank you life ♥️",354540,,1708,,Carousel,beerbiceps
"Another photo dump from the hills. 

Multiple moments from this trip left me feeling liquidised.

Somewhere between the plane of humans & angels & light.

I think this is going to be the place I choose to settle in and raise my family. 

Of course it would be great to continue my career from up here. 

But truth be told, the mountains have a way of leaving you feeling deeply contented.

I've worked really really really hard in the 10 years leading up to 2025.

I've accomplished everything I set out to accomplish. I finally feel (mostly) satiated.

At this point I'm only accepting the city life for the sake of the people who chose to work with me.

We have to see our mission through and I jolly well know that we will. Everyone who has put in the years will build generational wealth for their families.

But as for me, I just want to get lost in these other worldly colours. 

One day a lemony gold sunset to kiss me goodbye.

The other day, a saturated rainbow to make me feel like a 4 year old again. 

Then a moment of deep rest (perhaps ego death), by the side of a sapphire blue stream. 

And finally, a reminder from a mountain Goddess (this time Chamunda Maa)... telling me, ""Son, give this girl with you the best that you have to offer...""

We return to the city life albeit for 12 hours. 
Tomorrow, we go to Singapore. 

Age 31 leaves another 9 years of war ahead of me. 

Kangra, Dharmsala & McLeod Ganj will have to wait for a bit. But I will be back soon to my dearest Himalayas 🏔️🏔️🏔️

Aum Namah Shivaay 🔱

#himachal #mountains #travel",624849,,1146,,Carousel,beerbiceps
"Don't let society's matrix fool you into thinking that money matters more than love.

Money is fantastic. And can genuinely enhance the life of your loved ones. 

But that's why I believe in working very hard during the earlier phases of one's life.

Life can't be about making money forever. 

Use the power of compounding cash and compounding repute to build more ""TIME WEALTH""

We don't earn to become rich. We earn to become free.

Focus on building memories. 
Focus on maximising moments.
Focus on the parts of life full of love.

And if you can't afford these luxuries yet, focus on making your dreams a possibility.

When you wish to give up, remember that you're doing it for the smiles on your loved ones' faces.

#Love #romance #relationships

Oxytocin > Dopamine.",154819,1019479,1067,1019479,Reel,beerbiceps
"September photo dump.

It's been a month that's been blessed by Ganpati Bappa 🙏🏻♥️

I am off to the hills to recaliberate.

Taking a break longer than 2 weeks for the first time since my career began. 

I'm in my 10th year. 
Love my job immensely. 
But a chapter will close soon.

Off indefinitely.

The next chapter : Work-Life-Balance 🏔️🤍

Om Namah Shivaay 🔱",649538,,740,,Carousel,beerbiceps
"If you love your siblings you'll tag them, share this reel with their children and ensure everyone in their bloodline watch this special episode of @theranveershowpodcast featuring @rakulpreet.

#Rakulpreet #TheRanveerShow.",167047,1986047,343,1986047,Reel,beerbiceps
"Drop a ♥️ if you want more reels like this.

The return of romance on BeerBiceps 👸🏻❣️🤴🏻

#Love #Relationships #Romance",343515,1840476,1981,1840476,Reel,beerbiceps
"soft boy era begins.

Who am I kidding brah? When did it ever leave?

I'm all about that soft boy hard boy balance.

Will hold my girl's hand like it's more precious than a bag of emeralds. 

Will hold you by the throat if you trouble a dog.

Boomshakalaka we all about dat duality baby. 

Gimme some prebiotic earth with no fungi. 
That's how hot my head is when it's hot headed. 

Gimme the North Pole of Pluto at night.
That's how cold the ice in my veins is. 

Serial killer mentality with a golden retriever's heart.

CM of Maharashtra today, ISRO chief yesterday, love for my momma every day.

Soft boy era is all about doing the work of God on this holy land we call earth. Spread love spread kindness. We in this for the religion called mankind baby.

Love mankind even more than I love my girl. Is a soft boy allowed to say that shit? I think not. Can't love anything like I love my boo.

You know who you are babe. Only me n you against the big bad world. 

Chris brown song in the background. 
Justin Bieber acoustic covers in my heart for you. 

Swords in my hand simply to look cool.
4 releases a week to build our dreams.

Dropping new podcasts like Steph Curry drops em 3s.

Getting to my goals like my mom named me Ronaldo.

Pointing at you to say luv u, cuz you know I'm yo Kohli 😘

PC : @through_the_glass_eye",202661,,644,,Carousel,beerbiceps
Life is good...,320826,1844407,2152,1844407,Reel,beerbiceps
"August photo dump with a cute story. 

This is Khwaab. 
She came up to me when I was shopping and asked for a photo!

She said, ""Yeh woh podcast uncle hai!""

This was the youngest TRS fan I ever come across!

Truth be told, I've been going through a very difficult year.

I don't get too much time to myself and step out very rarely. When I'm out in public, I've reached a stage where I wish to be as private as possible. 

If I'm out with my mum or girlfriend, I simply wish to hold their bags and be Ranveer. Not beerbiceps...

Of course I'm grateful to anyone who comes up and conveys love. But I've also had many situations where people come up and convey criticism, judgement or generally speaking : dark energy.

I guess when one makes it mainstream, the experience of life gets altered slightly...

No complaints, this is what I signed up for. I can't have a normal experience of life if I'm releasing 4 podcasts a week 😂

Khwaab came up to me without any kind of hesitation.

I felt like her presence melted away my tough day, tough year & tough exterior...

The photo you see is my best moment from that day! And quite easily one of the best moments of the year.

Thank you @khwaab__artwani 🤍🤍🤍🤍

In a torrential ocean that I call life, moments like these stabilise the ship that I call my heart...

The other photos are other happy highlights from this past month : 
- my loved ones. 
- some achievements.
- some epic meetings with epic souls.

2024 : One of the toughest years of my life. But life is still joyous.

This year, the skill I worked on the most : Learning to extract maximum happiness from the little joyous moments of life. Mindfulness combined with gratitude combined with imperviousness.

Onwards & upwards, fam ♥️",473028,,980,,Carousel,beerbiceps
"This reel is all about self love.

Do you love yourself?

If you truly do...

You'll check out pilgrim products.

Yes, I just said that.

Yes, you love yourself so you'll listen.

Just like jaboi, Pilgrim products are a perfect blend of usefulness, gentleness and effectiveness.

Check out @discover.pilgrim now

So excited to unveil “The Secret Is In The Mix” campaign for Pilgrim, one of the fastest growing vegan and cruelty free beauty brands. They don’t follow fads or the latest ingredients 👀 they know the right mix of ingredients delivers results and customer love 💯❤️

Check out their beauty products at discoverpilgrim.com ⭐ Don't Forget to use my Coupon Code ""Ranveer15"" for additional discount ️

#Pilgrim #TheSecretIsInTheMix #Pilgrimhaircare #Pilgrimkeratinandpatuashampoo #Pilgrimhairgrowthserum #RanveerAllababadia",134922,1279027,665,1279027,Reel,beerbiceps
"For me, this is the biggest podcast of the year (until now 😉)

Thank you for everything you've done for our country, @isro.dos & @isro_chairman !

Go watch the latest episode of @theranveershowpodcast , NOW.

Edit : @akshattiiwari 

#NationalSpaceDay #theranveershow #podcast #isro #inspiration",261881,954206,1994,954206,Reel,beerbiceps
"Thoughts I've had about having children :

1. Perhaps having kids is the 4th most important aspect of a human birth. The others being :
- Spiritual growth.
- Taking care of your parents
- Giving back to society, through your work.

2. I'm sure that the birth of your kids makes you more responsible. But maybe it also makes you relive your childhood. And therefore makes you dive deeper into your own psyche.

3. Spiritual growth is definitely accelerated if you protect & raise a child. Living for the sake of another human being is one of the greatest things that one can do in a human birth.

4. One needs to be financially, spiritually and biologically ready to bring life into this world. Be aware of ""responsibility"", before multiple duties become your reality.

5. Having progeny is your chance at the propulsion of your value system into the future. If your kids make the world a better place, you have done your bit for society. 

6. Considering where world population demographics currently stand, many believe that a couple should produce more than 2 children. Personally I want more than 2 kids. But not at the cost of the quality of fatherhood I can provide. Time will tell...

7. As I age, I love my parents more with every passing year. I also realise that I carry generational trauma & tendencies that I've inherited from my bloodline. Fatherhood will be my test. What am I passing on to the next generation? What tendencies or trauma will be held back from reaching them?

All I can do now is work on being the best version of myself.

---

Every stage of adult life throws new challenges your way.

If you put your mind to it, you'll become better annually.

Study about fatherhood.
Study people's mistakes.
Visualise a warm reality.
Prepare for responsibility.

#spirituality #fatherhood",248129,1501984,1407,1501984,Reel,beerbiceps
💔,282052,1077029,2642,1077029,Reel,beerbiceps
