Caption,Likes,Views,Comments,Shares,Post Type
"In a world full of trends, i still remain a classic. 

#jaipur #jaipurtalks #jaipurcity  #rajasthan #pinkcityjaipur #instagram #explore",189,,1,,Photo
"Only a Jaipurite knows how to find the best spot in Rainy season! 
#jaipur #rajasthan #jaipurtalks #jaipurdiaries #rambaghpalace #jaipurcity #pinkcityjaipur",210,,2,,Carousel
"Though this is just a beginning but can i call it a transformation? I lost 10 kgs in last 70 days and there is a long way to go. 
Strength training made me more healthy, disciplined, increased my focus, improved my decision making and helped me in boosting my confidence as well. Try it if you wish to live longer. 
Diet is the key 🔑 
#healthy #fitness #eathealthy #livelonger #gym #workout #gymphotodump",150,,4,,Carousel
"Like minded fellas hunt for the best in tech with so much of learning throughout the entrepreneur journey. 
Had a great time with @shashankin22 with a lots of brainstorming about IT industry! 
Up and up from here, more power to us ⚡️🚀
#tech #bangalore #it #infosec #web3 #security #computerscience",137,,0,,Photo
"After so many years of my experience on mic, i don’t prepare formal speech. I go impromptu because i love to talk to everyone directly even if i am on mic. This makes my connection stronger with everyone around me. 
With @bsidesahmedabad we rocked in Bengaluru with so many CXO’s and made a family there. 
Thank you @imniksri & @sk_pandey1337 for keeping me in the run to make Bsides Ahmedabad stronger every day 💪",205,,11,,Carousel
"When we give cheerfully and accept gratefully, everyone is blessed.

#jaipur #rajasthan #tech #computerscience #programming #infosec #cybersecurity #linux #cloudcomputing",133,,3,,Photo
"Life doesn’t get easier, you just get stronger! 🌟

#jaipur #rajasthan #lifelessons",146,,6,,Photo
"Everyone’s hidden craving - A lot of nature at your own place. 

#farmhouse #outhouse #holidayhome #land",245,,5,,Photo
"Spending time together and rolling in community from sooooo many years. Yes we know how to survive and thrive in tech without any complaints. 
We don’t do work anniversary or cake cutting paparazzi! 
When it comes to work
“WE JUST DO IT!”
Like this track 🎶
@hiteshchoudharyofficial 

#brothers #tech #india #business #computerscience #technology #programming #cloudcomputing #cybersecurity",752,,15,,Photo
"Do not go where the path may lead, go instead where there is no path and leave a trail. Keep enough courage to do something AWESOME! 

#life #green #trees #farm #outhouse #rajasthan #sustainability",235,,2,,Photo
"I sit on computer every day. That’s my simplest and fundamental recipe to achieve something. 
#tech #programming #code #iwritecode #newproduct #comingsoon #computerscience",199,,1,,Photo
"I know i’m on the right path because things stopped being easy! 
#jaipur #pinkcity #pinkcityjaipur #davidbeckhameyewear",226,,3,,Photo
"Time to steal keys 🔑 of @hiteshchoudharyofficial ! 
New Safari Dark Edition 2024 in the house! 
It’s a next level rejoice of stealing vehicle keys from baday bhaiya! 🤩😎

#safari2024 #tatasafari #safarifacelift #safari #newcar #beastcar",805,,22,,Carousel
"Still rocking with 7.5 million views & 40k downloads. Just write hacking on pexels.com and i will be there. 
This is one of the most viral hacking click ever! 

#hacking #cybersecurity #ethicalhackers #ethicalhacking #youhavebeenhacked",320,,7,,Photo
"Had great time at the most happening spot of Jaipur with @mukeshotwani . A great youtuber, OG tester & a diligent person by heart. 

#youtubers #youtube #Jaipur #rajasthan #nhargarhfortjaipur #nhargarh_fort",582,,1,,Photo
"Happy Diwali 🪔 from your friendly neighbourhood techies.

#hiteshchoudhary #sakshamchoudhary #programming #computerscience #youtube  #brothers",4724,,35,,Photo
"I am always in love with tech and it’s innovation. Dubai future museum is doing amazing stuff with tech. Thought of posting a travel shot! #tb 
.
.
.
#travel #travelshots #travelingram #dubai #uae🇦🇪 #travelvideo #dubaitravel #dubaitourism #dubaifuturemuseum",162,1943.0,2,1943.0,Reel
"Search Telusko on google.
Google will suggest you Telusko Java
Telusko Python 
Telusko springboot
Taking out this amazing picture from the vault with @navinreddyofficial sir 

#java #python #springboot #2million #youtubers #youtube",441,,3,,Photo
"I truly believe in this theory : Your work is going to fill a large part of your life, & the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do.

#entrepreneur #entrepreneurship #tech #computerscience",546,,2,,Photo
"I had an amazing time as an Opening Note Speaker at @bsidesahmedabad recently. Met with a lot of #infosec enthusiasts. 
Folks were electrifying in this amazing conference! 
Here is a quick sneakpeak. 
Also, i noticed crazy gain, surely hitting gym these days. 

#hacking #cybersecurity #ethicalhacking #cybercrime",207,1794.0,13,1794.0,Reel
"Unlock your hacking capabilities with these 3 things.

Save it for later and share it with your friends!


#hackers #hacking #cybersecurity #hack #kalilinux #linux #ethicalhacker #programming #infosec #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech""",312,2602.0,4,2602.0,Reel
"Spotlight must agree, i am a show that you got see 😉

#bsides #bsidesahmedabad #ethicalhacking #cybersecurity #infosec #kalilinux #cybersecurity #computerscience #hacking #pentesting #cybercrime",493,,20,,Photo
"Once a wise man said nothing :- 
Meaning : Silence is a powerful statement, a smart tactic, and many times, a wise choice. Meaningless silence is always better than speaking meaningless words.

#tech #cybersecurity #infosec #hacking #ethicalhacker #ethicalhacking",567,,9,,Photo
Where every corner whispers tales of timeless traditions and vibrant heritage. 🌟🕌✨ #RajasthanRoyalty #CultureRichRajasthan #HeritageHues,387,,6,,Photo
"Found a wonderful picture in the vault with Hacking Squad! 
.
.
.
.
#hacking #cybersecurity #pentesting",316,,8,,Photo
"✨ Join us in giving a warm welcome to Saksham Choudhary, our esteemed Opening Note Speaker for the Main Stage at BSides Ahmedabad 0x04!

💼 Saksham is a YouTuber with over 🎯 130k Subscribers and the Ex Co-founder of Learncodeonline.

🔥 Immerse yourself in this exceptional experience 🤩 that promises to spark your curiosity and insights.",154,,8,,Photo
"Happiness is a mood, positivity is a mindset",172,,2,,Photo
"Still standing tall like a mountain with bullseye vision, no time for jabroni talks! 

#nohashtag #nohashtagneeded",222,,0,,Photo
"Okay folks, so here is @rollsroycecars ‘s year 2005, 1991 & 1943 edition. 

#rollsroyce #rollsroycephantom #rollsroyceghost #rollsroycewraith #rollsroycecars #rollsroycegang #cars #luxurycars #travel #luxurylifestyle #carporn #carinstagram #carphotography #india 🇮🇳 #indiapictures #indiaclicks",147,,2,,Carousel
"Well, this is my way of living joyful & stress-free life :) 🌟✨🤩
Who else craves the magic of nature’s jacuzzi? 🛁
#NatureLover, #IslandLife, #OceanEscape, #TravelGoals, #Wanderlust, #ParadiseFound, #BeachLife, #IslandAdventures, #NatureTherapy, #ExploreTheWorld, #TravelDiaries, #AquaTherapy, #SereneScenes, #ChasingHorizons, #CalmingWaters, #EscapeReality, #TropicalGetaway, #DreamDestination, #SeasideSerenity, #PeacefulMoments",213,,6,,Photo
"I have seen further than others, by standing upon the shoulders of giants.
- Isaac

#udaipur 
🌅 #CityOfLakes #TravelGoals #RajasthanDiaries #Inspiration #Wanderlust #VacationMode #IncredibleIndia #TravelPhotography",304,,4,,Photo
"Captured a moment with the visionary CEO of @dhiwise @vishivish1912 today. Inspired by his game-changing platform that effortlessly transforms design into code. 
His down-to-earth nature and genuine care for everyone around him is truly admirable. Grateful to witness the future of design and technology in action! 🚀 #dhiwise #VisionaryLeader #TransformingDesign #Inspiration#programming #computerscience #computerengineering #figma",220,,1,,Photo
"3 Illegal 🤫 Hacking Devices 👨‍💻⚡⚠️

Don't try this without the permission of the owner. 👿

Save it for later and share it with your friends!


#hackers #hacking #cybersecurity #hack #kalilinux #linux #ethicalhacker #programming #infosec #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech",6824,44175.0,29,44175.0,Reel
"A gentleman is one who puts more into the world than he takes out.

#india #formals #gentleman #classic #instagood #instafashion #explorepage",293,,6,,Photo
"Comment your favourite Movie 👇 

#hackers #hacking #hacker #cybersecurity #ethicalhacking #hack #kalilinux #linux #ethicalhacker #programming #infosec #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech",990,7092.0,25,7092.0,Reel
"👿 Learn Ethical Hacking using Chat-Gpt

👉 Use Chat-Gpt to solve your problem, ask questions. 

👉 If you know how to use chat gpt effectively, you can save you a lot of time and efforts. 

😄 Save it for later!


 #hacking #ethicalhacker #ethicalhackers #cybersecurity #cyber #infosec #kalilinux #linux  #programming  #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech",626,,7,,Carousel
"Data Breaches: Last one is the biggest one 

3 Bigggest Data Breaches of 21st Century 👨‍💻 

Hashtags: 
#databreach #cybersecurity #datasecurity #dataprotection #privacy #infosec #security #cyberattack #cybercrime #informationsecurity #hacking #malware #phishing #cybersecurityawareness #hacker #ransomware #dataprivacy #technology #hackers #data #cyberattacks #cyber #encryption #gdpr #tech #cloud #cloudsecurity #personaldata #hacked",483,4780.0,10,4780.0,Reel
"This is how hackers remotely control any Android device 

Stay One Step Ahead of hackers:
Be cautious of using USB cables from unknown sources.
Regularly update your Android phone's software.
Install reputable antivirus and security apps.
Avoid charging your phone with untrusted charging stations.

Share this reel with your friends!

#cyberawareness #hacking #hackers #cybersecurity #hack #kalilinux #linux #programming #infosec #technology #hackerman #pentesting #coder #coding #cyber #hackerspace #anonymous",746,5173.0,17,5173.0,Reel
"Learn Hacking using AI 👨‍💻

Comment below if you found this helpful 👇

#hackers #hacking #hacker #cybersecurity #ethicalhacking #hack #kalilinux #linux #ethicalhacker #programming #infosec #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech #hackerindonesia",711,,22,,Carousel
"""🔐💻 Protect Your Online Security! 

Have you ever wondered what a bad hacker can do if they have your personal information? 🕵️‍♂️🔍

A Bad Hacker or Black Hat hackers have the ability to easily gain access to your smartphone, laptop, computer systems, networks, and even personal photos and contact lists. 

Follow me to learn valuable tips and tricks to protect yourself from hackers. 

Hashtags:
#hackers #hacking #hacker #cybersecurity #ethicalhacking #hack #kalilinux #linux #ethicalhacker #programming #infosec #technology #security #hackerman #pentesting #hacked #malware #cybercrime #cyberattack #coding #cyber #hackerspace #anonymous #python #informationsecurity #cybersecurityawareness #hackingtools #programmer #tech""",623,6691.0,21,6691.0,Reel
"Happy folks and happy swags!!!! 
Thanks to @imniksri & @art71.17 

Just a quick reminder, attend @bsidesahmedabad, it’s India’s one of the finest cyber security conference. 

Crazy speakers to be revealed soon. 
Stay tuned. 

#infosec #cybersecurity #ethicalhacker #ethicalhacking #cybersecurity #cybersecuritynews #bsides #bsidesahmedabad",288,,3,,Photo
"How many of you remember this legacy?  Watch till end to see the result. 
Art by @kubera_kunal
#iwritecode #hiteshchoudhary #sakshamchoudharyofficial  #programmer #programming #computerscience #java #python #cprogramming #javascript #react #nodejs #infosec #hacking #computers #computerengineering",331,2189.0,23,2189.0,Reel
"👀
 
#trendingreels #instagood #explore #reelitfeelit #2pac #alleyesonme #alleyesnorth",179,798.0,0,798.0,Reel
"We are living proof that when human beings have the courage and commitment to transform a dream into reality, there is nothing that can stop them. Dubai is a living example of that.
#burjkhalifa #dubai #uae #explorepage✨",357,1060.0,7,1060.0,Reel
"So…i was having a bad day today due to some PC crash since i was diggin in AR VR via Unity last night. Suddenly I realised that i have a gift to open up coming straight from my friend in Isreal Tzvika Shneider, true spartans in API security - Pynt!!!!! This really helps :) 
#israel #telaviv #peopleoftelaviv #pynt  #apisecurity",73,816.0,1,816.0,Reel
"Every next level of your life will demand a NEW YOU.
#sakshamchoudharyofficial",208,,4,,Photo
"Ensuring happiness on the faces of my dear students whenever i go on the stage. 
Me bohot khush kismat hu jo mujhey aap logon ka pyar dil kholkar milta raha hai. Aagey bhi me ese hi sab ka dhyan rakhta rahunga ❤️🙏
#strongertogether #computerscience #computerengineering",205,,5,,Carousel
"Ready to revolutionize 🌀 your web 🌐 development game? Say hello to Tailwind CSS! With its endless customization options and pre-made classes, creating beautiful websites has never been easier. From responsive design to CSS shortcuts, this reel has it all. Watch now to discover the magic of Tailwind CSS and level up your web design skills today! #TailwindCSS #WebDevelopment #CSSShortcuts #ResponsiveDesign #WebDesignTips #StreamlineYourWorkflow""",94,560.0,4,560.0,Reel
👨‍💻 The Ultimate Showdown: JavaScript vs PHP! Which language is better for making websites more interactive and engaging? 💥 Find out now! And did you know you can use both JavaScript and PHP together to create even more powerful web applications? 🤯 Share your thoughts in the comments below! #JavaScript #PHP #WebDevelopment #InteractiveWebsites #WebDesign #ProgrammingLanguages #WebApps,151,1060.0,3,1060.0,Reel
"Diving into the world of #Docker and loving every second! 😍 Whether you're a developer or sysadmin, Docker simplifies containerization and streamlines workflows. Check out my latest Reel to learn more! 🚀 #DevOps #Containerization #TechieLife #CodeNewbie #ProgrammerHumor #ITGeek",176,1885.0,7,1885.0,Reel
"Heartbreaking news for CashApp lovers! 

#cashapp #cashappgiveaway #cashappday #cashappme #cashappblessing #cashappflipps #tech #sanfrancisco",183,1186.0,1,1186.0,Reel
"Speaking to inspire, educate and empower.
What an amazing session it was last evening with @sakshamchoudharyofficial 
Filled with lots of knowledge, ideas and goodies 😉.
#hackitsapiens #his2023",308,,12,,Carousel
"Enjoy life :) 
#motivational #motivation #enjoylife #kobebryant #shaq #motivationalreels #reels #reelsinstagram #dubai #technologypark #dubaitechnology",171,1221.0,2,1221.0,Reel
"Get ready to witness creativity, enthusiasm and dynamic brains at @hackit_sapiens . 
I am excited to announce that i will be joining you all as a judge in this event at Poornima College of engineering on 14th April. 
See you all there 😁

#hackathon #jaipur #poornimacollege #poornimacollegeofengineering #arvr #cybersecurity #iot #aiml #rajasthan #india #explore",243,1923.0,2,1923.0,Reel
"He who has overcome his fears will truly be Aristotle! 

#skydiving #skydivers #skydiveamazing #skydivinggram #skydivegram #skydive #skydivers #skydivedubai #skydiveaustralia #tandemskydive #dubai",121,,2,,Photo
"1 kadak walk lo Dubai mall me, going back to my studio 🎥for recording Linux 🐧series from this Friday 🗓7th April 2023. 
Excited to resume Linux series from my new studio. 
😁😎Lot of updates are in the queue, i will tell you all everything time to time….enjoy my 🚶walk till then from @thedubaimall by @emaardubai 😉

#youtube #dubai #dubaimall #emaar #shopping #travel #vacation #walk",140,836.0,2,836.0,Reel
"If you know who he is, tag him. 
Hahahaha 🤣

#jaipur",472,,14,,Photo
"Don’t know, don’t care.

#museum #dubai #dubai🇦🇪 #dubailife",295,,3,,Photo
"Those who don't jump will never fly 🕊️
.
.
#skydiving #dubaiskydive #skylovers #skydivinggram #skydivers #skydiveamazing #skydivegram #palmjumeirah #palmjumeirahdubai #palmjumeirah🌴 #palmjumeriahisland #adventure #adventurenthusiasts #adventuretime #adventureseeker #adventuresport",331,1784.0,11,1784.0,Reel
"Next stop : Earth 🌍
@skydivedubai 
#skydive #skydiving #skydivedubai #skydivedubaipalm #adventuresports #skylovers #skyphotography #dubai🇦🇪 #dubailifestyle #dubaiphotography",238,1229.0,2,1229.0,Reel
"Work until you feel Dubai is cheap 🇦🇪

#dubai #dubai🇦🇪 #dubailife #dubaimarina #dubaitrip #dubailifestyle #dubaidowntown #dubaiskyline #dubaicity",368,,6,,Photo
"Prior to 2010, the Burj Khalifa height had been kept a secret in order to prevent it from being surpassed by potential competitors. You can watch the sunset twice from the Burj Khalifa, once from a lower floor and then again from the observation deck!

#burjkhalifa #burj #dubai #uae🇦🇪 #uae #travel #explore #travelphotography #burjkhalifadubai #burjkhalife",473,,5,,Photo
"The Arabic calligraphy on the building consists of three quotes: 
- “We may not live for hundreds of years, but the products of our creativity can leave a legacy long after we are gone.” 
-“The future belongs to those who can imagine it, design it, and execute it.” 
- “The future does not wait.

#museumofthefuture
#dubai #dubailife #dubailifestyle #dubailifestyle #dubailiving #dubaitrip #dubailife #dubaidowntown #dubaitourism",382,,13,,Photo
"Security is a myth!!! In action At the live hacking event of @gisecglobal 

#hacking #cybersecurity #ethicalhacker #informationsecurity #livehack #gisecglobal",508,,16,,Carousel
"One of the best exposure for Cyber Security at @gisecglobal 👨‍💻👨‍💻
Pc -@shakti0369 
#hacking #ethicalhacker #cybersecurity #gisec #dubai #informationsecurity #linux #kalilinux",305,,3,,Photo
"Me after cracking 👨‍💻OSCP, enjoying vacations in Dubai! 😍
#gisec #dubai #ethicalhacker #cybersecurity #vacation #hacking #oscp #kalilinux",310,2755.0,14,2755.0,Reel
"Mentorship and guidance is something that’s not easy to find but once you get it walking on that path is not easy. You will doubt in between but when results show up, you will love it. 
OSCP is among one of the toughest exam in hacking world. It’s a 48 hour continuous grind and clearing it in one attempt is not easy. 
Mentorship is not writing every line of code or showing every technique by hand. It’s about keeping you on track, make YOU to learn. 
Ultimately it’s your success that feels a teacher happy. 

Congratulations Saksham Choudhary , another one, many more to go.",2252,,37,,Photo
"""The best way to predict your future is to create it."" - Abraham Lincoln 
#sakshamthecomputerguy #jaipur #jaipurdiaries #jaip",434,,3,,Photo
"Welcome to Jaipur! 
With Synack Red Team #1 @imniksri & CEO of CredShield @shashankin22 
.
.
.
@thesynackcrowd
.
.
.
.
.
.
@cobalt_io",343,,3,,Photo
"Look deep into forest and then you will understand everything better. 
.
.
.
.
#forest #himalayas #mountains #nature #india #himachal #pulga #fairyforest #vacation #explore",463,,8,,Photo
"Proud moment for 🇮🇳 India on launch of Vikram-S rocket 🚀 @isroindiaofficial
1st ever private rocket of India ✨
#isro #rocketlaunch #india",404,2443.0,0,2443.0,Reel
"India will be a golden player in Digital-era, what do you think? 🇮🇳
.
.
.
#google #googleindia #cloudcomputing #gcp #googlecloud #cloudcomputing",591,,5,,Carousel
"🪔🪔🪔Happy Diwali from your friendly neighborhood techies, @hiteshchoudharyofficial & @sakshamthecomputerguy 🪔🪔🪔
.

.
#diwali #hiteshchoudhary #sakshamthecomputerguy #iwritecode #programmers #cloud #devops #computerscience #informationsecurity",3757,,25,,Photo
"A very familiar face and a guy who has won so many hearts with great content on YouTube @anuj.kumar.sharma , had a great time meeting you ✨😁 
#youtube #anujbhaiya #tech #programming #google #technology",604,,5,,Photo
"Hey @google at @googleindia :) 
#google #googlecloud #googlecloud #googlecloudnext #cloudcomputing #googlecloudplatform",526,,4,,Photo
"@googlecloud Next 2K22 :- Had a great time in joining  round table discussion with Senior Vice President at Google :- Mr. Urs Holzle •Prashanth sir, Developer Advocate at Google •@karthik_padman, developer relations at Google, • Mr. Rajat Pandit, Head of Google Cloud, Custom Engineering, • @pvergadia aka The Cloud Girl yayy 😁, it’s an honour to meet with such wonderful, experienced and ace techies from @google where every second spent with them is a great learning and inspiring for me. 
One thing is for sure, Google Cloud Platform is a great way to unlock a new power of Tech in everyone’s life, having a round table with us to make gcp better is a clear example that how much google  care for anyone who is a part of google community by any means as a team or even a user, i admire the great culture of giving efforts to give growth to our GCP community :) #gcp #googlecloudnext  #googlecloudplatform #googlecloud #cloudcomputing #google #googledevelopers",794,,25,,Carousel
"A sneak peak of an amazing @googlecloud event today. 
#googlecloud #googlecloudplatform #googlenext #cloudcomputing #bengaluru #googleindia #googledevelopers #googletrends",581,4868.0,13,4868.0,Reel
"Hello Instagram family, 
Continuous efforts to master cloud is still on the go, i have cracked down another one of the toughest examination of AWS SysOps today. 
With this now i am 4xAWS. 
#aws #cloud #sysops #cloudcomputing #cloudengineer #awscertified #awscommunity #awscommunitybuilder",283,,8,,Photo
"Fourth one in a row and this was big one. @sakshamthecomputerguy is now officially #aws certified #sysops admin. 4xAWS
Nailing it down in #devops world. 

https://hc.lco.dev/devops",3208,,66,,Photo
"When old connections unite, talks are 100% spiced up to keep em confidential. In the frame with Synack Red Team legend & Lead Pentester at @cobalt_io - @imniksri 
Big reveals coming soon, stay raw & keep pawning! 
#hacking #informationsecurity #redteam #cybersecurity #informationsecurity #pentesting",269,,1,,Photo
"Kese rokoge janta ke pyar ko? Aap hai to ham hai ♥️
#sakshamthecomputerguy",246,,5,,Photo
"They are the reason why i feel like home whenever i come to Ahmedabad. Had great time with Niks aka @imniksri & @dipenwadhwa. Looking forward to see @bsidesahmedabad expanding to the next level! 
#ahmedabad #cybersecurity #informationsecurity #ethicalhacking #bugbounty #infosec #bsides",405,,5,,Photo
"United states Army Reserve & Security veteran that is doing so much for #infosec community. 
Great after party discussion with everyone’s favorite The Cyber Mentor aka Heath Adams  about #informantionsecurity  scenerio globally at Security BSides Ahmedabad 
#hacking #ethicalhacking #cybersecurity #india #cybersecurityexperts #youtubers #youtubeindia",554,,6,,Photo
"When it’s Jaipur, going to farm with familia mates is a rejoice! 
#jaipur #horse #horsepower #horseriding #horsesofinstagram #horselover #farmhousestyle #vacationhome",227,2132.0,7,2132.0,Reel
"Having a great time at incubation centre of @jecrcuniversity. Dynamic minds are writing the future of India 🇮🇳 
#jaipur #jecrcuniversity #technology #programming #hackathon #iwritecode #programmerslife",388,,2,,Carousel
"Mr. Saksham Choudhary, Cyber Security Lead, iNeuron at Tech-A-Thon interacting with the audience.

.

.
#JECRC #JECRCuniversity #ineuron #Hackathon #Coding #Jaipur #Rajasthan",399,,1,,Photo
"Free Registration Link: https://hackathon.ineuron.ai/techathon2.0
LAST DATE of REGISTRATION - 14 Sep 2022
JECRC university: https://jecrcuniversity.edu.in/
ineuron Website: https://ineuron.ai

About Event:
Tech-A-Thon 2.0 
Date: 17 Sep 2022 (Saturday) from 11 AM to 18 Sep 2022 (11 AM) , i.e. 24 hrs
Venue: Auditorium, JECRC University, Jaipur Rajasthan
Eligibility: Anyone with passion for programming. No Entry FEE.
Prizes: 2L, 1L, 50k for top three.",257,3944.0,1,3944.0,Reel
"Whether you are a programmer or non programmer, start your #devops journey today.  @ineuron.ai
Click here to enroll in Devops pro course :-@ineuron.ai_official @sudhanshu902203 @hiteshchoudharyofficial @rakeshrhcss  https://hc.lco.dev/devops
Use coupon code HITESH10 for 10% discount.
https://lnkd.in/d84gUaR3

#devops #devopsengineer #cloudcomputing #awscertified #awsarchitect #cloudcertification",247,2208.0,2,2208.0,Reel
"Faith has to be exercised  in the midst of ordinary.
#devopsengineer",277,,2,,Carousel
"Thank you for such an amazing click @heyimwish : Media Team Head of @ineuron.ai. 
Quick update :- My next stop is @jaipur at @jecrcuniversity",213,,1,,Photo
"Awesome vibes of I write code with @mahatmaji_technical and students of @lpuuniversity, talented programmers at Tech-A-Thon by @ineuron.ai 
#punjab #youtubers #programmers #iwritecode #computerscience #cse #lovelyprofessionaluniversity #lpuuniversity",180,,1,,Photo
"This much of love ❤️ and respect 🙏 from the students of @lpuuniversity, i am very thankful to be a part of this hackathon by @ineuron.ai. This rumble and roar from the students is always going to be a memorable memory for me :)",184,,5,,Photo
