Caption,Likes,Views,Comments,Shares,Post Type,Creator
"#ad #samsungstudentplus

In my eyes, being a college student now is much better than being a college student 10 years ago.

More opportunities, more information & more offers 😉

Make sure you check out the Samsung Student Plus Program for some amazing deals.

@samsungindia",35215,355593,176,355593,Reel,beerbiceps
"mere yaar ki shaadi hai ♥️

An unforgettable weekend of #AnantRadhika comes to an end. Too much positivity in the air throughout the event.

Wish people got a chance to know the real Anant to know his heart. Perhaps a podcast beckons ✨

Radhika ekdum Radha laage chhe...

---

These photos represent some of my memories from this event. Way too much to talk about on a single Instagram post. 

My Kannadiga tiger brother @klrahul 🐅

My spirit brother @jayshetty 🧞‍♂️

My mafia brothers @tanmaybhat @sriramk 💀💀💀💀

And of course, the faces of Indian geopolitical soft power @palkisharmaupadhyay & @balajis. 💥

India has arrived baby. All eyes on us 🇮🇳💪🏼♥️",2343846,,2721,,Carousel,beerbiceps
"Decided to dress like Batman for day 2 of #AnantRadhika.

Salman Khan & Jackie Shroff complimented my outfit yesterday. My masculinity feels validated 🦇

Boomshakalaka wanna chest bump my favourite designer @govindamehtaa for this.

Party of the year baby ♥️

Styling : @_tanyaa14_ 
Outfit : @thehouseofgovinda 
Photo : @street_wala 
Shoes : @lussolifestyleofficial 
Edit : @akshattiiwari",256595,,477,,Carousel,beerbiceps
"sweetu punjabi boy spotted in the wild 🌱

Styling : @_tanyaa14_ 
Outfit : @varunchakkilam 
Photo : @street_wala 
Shoes: @lussolifestyleofficial 

#AnantRadhika",333303,,792,,Carousel,beerbiceps
"best childhood moment lived out in my adulthood ❤️‍🩹

#AnantRadhika",3900949,,4687,,Carousel,beerbiceps
"About 9 days ago, I tore my ACL during a football match. 

Had only read about how intense a knee injury can feel until I experienced it myself. Happened very randomly when a brother tripped & fell on me during a game.

Heard a pop in my knee and knew immediately that it was something serious. The physical pain kept building up over the next 2-3 days. Fortunately, I began immediate sports Physiotherapy with my saviour @drdivyacures!

Been consistent with my physio routine throughout these 9 days. And the pain is decreasing rapidly.

Currently on the road to recovery and likely dodging the need for a surgery.

I've now realised how important one's knees are. Until you experiences a knee injury (God forbid), you'll never know how mentally challenging this can feel.

Imagine not being able to wear your pants yourself. 
Imagine not being able to sit cross legged. 
Interrupted sleep at night.
Fear induced limping.

It's getting better rapidly but man... my mental health has crumbled in this 1 week. 

Was finally able to sit on a chair for an extended period only yesterday (day 8). Had a deep meditation session after what felt like forever. 

Feeling so much calmer again. Trying to give myself as much positivity as possible. Trying to escape all forms of self pity. And most of all, trying to get back to being in better shape than I ever was 🙏🏻

Life will always throw curve balls your way. Better to stop questioning the lows as early as possible. 

Even better : Respond to low phases with ACTION & with a LEARNING MINDSET. 

Shoutout to everyone who has gone through knee injuries man. This shit fire for all the wrong reasons. 

Shoutout to you if you're going through any physical or mental 'injury'.

Keep fighting, keep rising 🙏🏻♥️",119287,1269288,886,1269288,Reel,beerbiceps
"9 practices that have helped me increase my sense of detachment :

1. Read an immense number of spiritual books. The more wisdom you absorb from the minds of sages, the less society's shortcomings will bother you.
- Autobiography of a Yogi
- Doorways To Light (Krishnananda)
- Ancient Science Of Mantras (Om Swami)
- Any book by Rajarshi Nandy

2. Worked really hard at my material career from early on. The quicker your material needs are taken care of, the sooner your consciousness travels to the realms of what's beyond human limitation.

3. Meditating daily. To begin, use @levelsupermind.

4. Conversations with (much) older people. Eventually you realise that only regrets & relationships matter. And beyond the realms of regret & relationships lies the realm of divinity. In the ultimate end, only your equation with divinity matters.

5. Travelling within India. Yes it's chaotic. Yes, it can be slightly unhygienic. But if you're willing to go beyond these obstacles, you will find consciousness elevating geographies in places like Banaras, Rishikesh, Vrindavan & many more.

6. Not celebrating victories for too long.

7. Constantly visualising a life without :
- My favourite foods.
- My favourite activities.
- My loved ones.
- My physical capabilities.
- Money, success & adulation.

8. Living a life without any intoxication. Giving up alcohol in 2018 was a game changer for me. Giving up meat around the same time was an equally big game changer.

9. Using sadness to write or create. Using happiness to convey joy to others. Perceiving both simply as tools rather than as states of the mind. Because even thoughts should NOT be taken seriously. They are not in your control. 

The only thing in your control is your perception of your thoughts & life.

---",434769,2466892,1754,2466892,Reel,beerbiceps
"Done with boring meals and boring reels.

Here’s an epic meal reco and an epic reel reco.

Meal reco : God’s favourite child - Biryani.

Reel reco : This reel by another one of God’s favourite children. Yours truly.

Better watch this reel till the end and then purchase a packet of Daawat rice to shower upon your loved one.

And by chance... if you’re not into food play... just cook them a big bowl of biryani with only India’s finest rice brand. D-D-D-D-DAAWAT.

Happy Daawat World Biryani Day 

#Daawatthefinest #DaawatBiryani #DaawatWorldBiryaniDay #7July2024

#ad",28810,406886,255,406886,Reel,beerbiceps
"9 things to know about ""Siddhis"" : 

1. Some version of ""Siddhis"" or 'divine abilities' is spoken about in every religion in the world. 

2. In the modern day, very few humans adopt a disciplined spiritual path. Hence a very small percentage can even experience powerful ""Siddhis"" being blessed upon them. 

3. In Hinduism, Siddhis are considered roadblocks or obstacles even though they might seem positive on the surface. A ""superpower"" may be exciting in the beginning but its purpose is to test your determination to get to the ultimate goal - Union with the divine. 

4. The more you meditate/pray, the closer you get to achieving the goal you were sent here for. When one is bestowed with a Siddhi, their ego may get inflated. Siddhis are the divine's method of testing your humility and intentions.

5. Siddhis and many aspects of spirituality are beyond the limits of where science has currently reached. Absence of evidence should never mean an evidence of absence. Skeptics will never be convinced about further human evolution. Perhaps they're not yet meant to climb the ladder of spiritual evolution. Step 1 : Be open. 

6. The heightened ""calmness"" or ""focus"" that's scientifically proved by studies on meditation is only the first, tiny version of what ""siddhis"" truly are. 

7. They should not be your motivation. But they will definitely help boost your material prospects. 

8. If you pray/meditate for the sake of material growth, you will likely not gain siddhis because you'll likely not go far up the ladder.

9. Read ""Autobiography of a Yogi"".

Begin your meditation journey today on @levelsupermind.",96185,497944,472,497944,Reel,beerbiceps
"One of the most emotional episodes of TRS. 

Our World Cup memes & feels special is now out. Must watch for fans of cricket and of emotions 😉

Recorded this with @jats72. He's worked as a selector for team India and I think the internet is only JUST getting to know him better. 

Loved recording this episode. 

We both tapped into our inner child for this one. Thank you for the Indian cricket team.

And above all, thank you to our 3 legends. @virat.kohli @rohitsharma45 & our royal warrior @royalnavghan. Thank you for your service to India, bhaiyyas. You are in all our hearts ♥️

Edit : @akshattiiwari",943001,3240277,1539,3240277,Reel,beerbiceps
WORLD CHAMPIONS!!! OUR COUNTRY!!! OUR BOYS!!! 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳♥️♥️♥️♥️♥️♥️♥️♥️,625670,,909,,Carousel,beerbiceps
"It is going to be OUR DAY again, ladies & gents. You can feel it in the air. Jai Hind 🇮🇳♥️🏏

Edit : @akshattiiwari 

#indiancricket #cricket #theranveershow",168135,911045,182,911045,Reel,beerbiceps
"Lemon Tart Allahbadia 🍋

Guess I'm in my soft boy era now. 
Dafuq is up with this era nonsense?

I'm stuck up in Gen-Z slang whilst millennials my age are experiencing parenthood & divorces in equal measure.

Guess delaying marriage has worked out for me after all.

Every lemon tart needs to be left in the oven for just the right amount of time errbody.

Sorry ladies this lemon tart is taken.

Taken by the Illuminati. Yup that's right. Starting a conspiracy theory right here right now babe.

Why dafuq can't people believe that the Illuminati would recruit me in the first place? Do I not give out that ""Could be dark & twisted"" aura? 

I sense not. The only aura I give out is the aura of freshly baked lemon tarts. Perfect biscuit. Perfect lemon cream. Perfect swing of the bat we are so winning it tomorrow, Jai Hind Vande Mataram 🇮🇳🍋♥️

Let's go King Kohli.

Let's go Hitman.

Let's go Bapu.

But above all, shoutout to mid 2000s Saif Ali Khan who gave every Indian millennial guy a good dose of VIBE INSPIRATION.

Vibspiration.

Perspiration.

Meditation. 

Download @levelsupermind to begin your meditation journey.

And download episodes of @theranveershowpodcast on to your phone so that these lemon tart vibes accompany you during your late nights. 

Where you still need content but you also need to rest your beautiful eyes, my queen.

May my voice and content deep dive into your subconscious mind. And destroy the remnants of the suppressed traumas that your poor little hands had to carry in your childhood.

I'm here now, love 🍋🔆🌻💛

Will destroy all that bad energy for ya.

Always and forever.

Like this post now. Come on. You know you want to. 

1 Like = 1 Lemon Tart For Breakfast In Bed Tomorrow. 

Courtesy your favourite soft boy podcaster. 

Kiss you goodbye now. 

Bye.

India is winning the World Cup tomorrow ♥️💪🏼🇮🇳

---

Photo : @___khatarnak___ 
Styling : That special someone.",186639,,684,,Carousel,beerbiceps
"Vibes like this only on @theranveershowpodcast 😂🫶🏼🌱

Edit : @rashmitaaaaaaa",58414,473617,157,473617,Reel,beerbiceps
"11 things that (dedicated) men want to tell their partner, but often can't express :

(boyfriends should share this with their girlfriends, saying 'caption is for you babe')

1. Want to give you everything material, then everything emotional and then even more.

2. You are my spiritual growth.

3. If I knew that the crippling pain of my past led up to you, I'd drink it all up 10 times over just to land up at you once.

4. Thank you for everything you do for me. Want you to feel the deep gratitude I have for you in every breath I take in your name.

5. How do I serve you better? Thinking of building a flying carpet to take you around the planet, underneath the stars. Or maybe I'll just work hard enough to get us a whole star system & multiple private planets...

6. I just wanna be better, for your future.

7. I'll take care of your family even more than I'll take care of you.

8. What you believe to be your flaws are ornaments in my eyes. I'm not with you for your looks, status or presentation skills. You just being you is more than I ever prayed for.

9. Thank you for giving me your light to escape into.

10. Life is tough but it used to be tough AND colourless until you arrived. Your presence is the colour in my monochrome world.

11. You are what my 11:11s led up to ♥️

#love #romance",509845,3212229,2488,3212229,Reel,beerbiceps
"Tore my ACL on Sunday.

Was feeling heaps of self pity & sadness.

No sports for 3 months and lots of therapy to recover...

And just when I was at my lowest, my life as a podcaster woke me up again.

Today we shot with Major DP Singh.

A Kargil War veteran who lost his leg while protecting one of India's posts in South Kashmir.

He's lived without 1 leg (and an old ACL injury on his other leg) for 25 years. 

He's become a marathon runner.

He's achieved multiple world records.

Travels across the country motivating people with stories of hope. 

Absolutely infectious, positive warrior energy.

Really want my knee to recover soon. But days like this don't come your way randomly.

I truly believe that they're sent to you by the universe. To remind you that life is about much more than just your physical (& mental) body's limitations.

Today's strangely poetic meeting was a reminder for me.

I remembered a Bruce Lee quote that I'd go back to a lot while starting off my career : 

""The mind that perceives the limitation, is the limitation.""

---

This special episode with Major DP will be out on Kargil Vijay Diwas. 2024 marks the 25th year anniversary of our victory in Kargil. 

May we always remember the sacrifices of our warriors from back in 1999. 

Hope everyone ends up watching this military special episode.

Personally, I feel extremely uplifted after speaking with sir. Special day this!

Jai Hind 🇮🇳♥️",192132,,305,,Carousel,beerbiceps
"God is great, God please let us win this World Cup 🙏🏻🙏🏻🫶🏼🫶🏼🇮🇳🇮🇳♥️♥️

In other news, go watch this epic episode with khuda ka banda @jatin_sapru !

New, epic episode of @theranveershowpodcast is now live.

Edit : @ig_niraj___ , @akshattiiwari 

#cricket #teamindia #theranveershow",216511,1337991,484,1337991,Reel,beerbiceps
"June photo dump - birthday month.

Love being in my 30s. We're the adults of the children world and the children of the adult world.

This is a month that I've used to take a step back from my professional life.

We shoot so much that I often forget that it's been close to 9 years of BeerBiceps. 9 years of shooting and travelling without a break!

Currently in a phase of life where I feel like I've accomplished all the goals that the 22 year old version of me dreamt of accomplishing.

This is a beautiful place to be. Yet it is a place that feels slightly empty. What now? I live for my loved ones at this point.

The 3 girls in my life : mom, sister and that special someone. 

The young team that backs me with their life.

The bros who got me through my absolute darkest phases. While there's many to tag, I wanna highlight @bunshah @maheep_212 @anuritkanti @anandpunjabi23. These are my day 1s. Only love and ball smacks for my lads.

Only love and hugs for all of you BeerBiceps & TRS lovers ❤️‍🩹

Grateful. But...

Recalibrating. Figuring the future of the podcast. Figuring the possibility of a career in film direction. Figuring how far I wish to take my YouTube journey. For all beautiful things must come to an end.

The calculations go on...

And until the calculations arrive somewhere, we have a stream of epic podcasts coming at ya! Keep following @theranveershowpodcast for more.

🐻🤗 (bear hug)",245426,,302,,Carousel,beerbiceps
"Aye haye one with my favourite @kartikaaryan 

Episode live now. Go watch for some ""Street smart bakc*odi"" 

Then go watch Chandu Champion in theatres on the 14th of June 💪🏼🫶🏼👊🏻

Edit : @ig_niraj___ 

#TheRanveerShow",220686,2277013,543,2277013,Reel,beerbiceps
"One tip for everyone: Don’t hesitate to get the best RuPay Credit Card of 2024! 

Another adulting tip for you all : Don’t fear credit cards.

Fear making bad choices with credit cards!

The right credit cards offer benefits, experiences & much more.

My recommendation : 
Lifetime free 3-in-1 Switch RuPay Credit Card.

Switch between the shopping, dining, and travel category.

Get 2% cashback on the selected category.

Get assured cashback on UPI and credit card spends.

Apply for the credit card exclusively on the Jupiter app.

#collab",46845,527275,292,527275,Reel,beerbiceps
"Welcoming the hottest new actor in town, on TRS!

He’s wowed you all in cinemas, gotten all the Munnis worried - here’s the FIRST EXCLUSIVE  interview with Munjya! 🤩

#Munjya, a must watch family entertainer is running successfully in cinemas now!

Blowing Indian audiences away!

Book your tickets now and watch it in your nearest theatres! 🎟️

#ad",146572,1555788,572,1555788,Reel,beerbiceps
"These are the kind of questions that are legally not allowed on TV 😂

What an epic podcast with @abhisheknayar!

Spoke to him for close to 3 hours. This is a must watch for cricket fans & players both.

Lots of deep insights on 
- KKR's title winning season
- Gautam Gambhir's coaching tactics
- Rinku Singh's story
- Rohit Sharma's superhero origins
- India's 2024 WC hopes
- Bakc*odi between players
- IPL 
- Coaching mechanism
- The love for cricket 🏏 

One of my favourite conversations from this year! 

Edit : @ig_niraj___ 

#cricket #indiancricket #podcast",148400,1375581,257,1375581,Reel,beerbiceps
"Hbd ranu

This year is the year where years of prayers were answered.

God always listens, just spread kindness & work hard ♥️

---

Going away from society for a week. 

Thank you to all of you for the support & love. 

Nothing without you, fam. Big hugs 🤗 

Chalo",373166,,2585,,Carousel,beerbiceps
"Which is that one song that's helped you come out of your darkest time? 

For me it will always be ""Kun Faya Kun"" from @imtiazaliofficial's 'Rockstar'.

This episode with the legend is one of the DEEPEST conversations that we've had with anyone from the film world. 

Must watch for film buffs and life buffs alike 🙏🏻🤍

Edit : @ig_niraj___ @akshattiiwari",1523464,5929178,3109,5929178,Reel,beerbiceps
"Another epic episode with my favourite @janhvikapoor ♥️

Man I love podcasting. Especially when the episodes turn out as deep as this one did 🧠🧠🧠

@theranveershowpodcast's special with this queen is live now.

Mr & Mrs Mahi releases this Friday (31st May), make sure you go watch it in theatres 🧡💙

But first, go watch the podcast 😉

Edit : @ig_niraj___",886809,8348998,2578,8348998,Reel,beerbiceps
"The much awaited @karanaujla podcast is now live!

Some times you just know that an artist is on the brink of exploding in the mainstream.

This brother is a special soul, deeply inspiring and full of love.

Not the last time that we're hosting this king on @theranveershowpodcast!

Edit : @ashish.anand7",1367357,5887516,5814,5887516,Reel,beerbiceps
"This is what Indian social media is all about!!!

Must watch episode of TRS featuring the crazy inspirational @nancytyagi___

If you thought that her viral video and Cannes moments were wholesome, wait till you get to know her backstory.

Edit : @ig_niraj___ 

#TheRanveerShow #NancyTyagi",1447820,13509775,3538,13509775,Reel,beerbiceps
"Over joyed and overwhelmed by the love 🥹
50 million + views on #SangRahiyo and Top 20 on @spotifyindia",307187,2513044,766,2513044,Reel,beerbiceps
"May photo dump.

Some random thoughts I've had lately :

1. Maybe I should leave all this and truly retire into solitude.

2. Too many great people work with me and I owe them the love & faith they've put into my story.

3. Can't retire until my guys & girls are more than taken care of.

4. Grateful for my mother but can't see her work any more...

5. My love for family increase every year but my free time possibilities constantly reduce.

6. Marriage will be about lots of free time. Balance then means a bit of imbalance now.

7. I need to get closer to my deity. I need to dive deeper into my spiritual disciplines. More sadhna. More challenging anushthaans.

8. Eventually, God is planning my entire journey. I have to work on constant improvements in humility and routines.

9. I miss my friends. I miss when I had more than just a Sunday to myself... But this is God's plan for 2024.

10. Everything that I prayed for is becoming mine thanks to God's will. Do I even want kids & marriage? Or do I simply want God next? I don't know.

And it's okay to not know.

Just give every day your best shot...

Let life unfold in the same way that kindness should unfold within all the realities that you touch.",584093,,955,,Carousel,beerbiceps
"I promise you that this is only the first of many more epic conversations with the iconic @anupammittal.me.

Very few guests leave me feeling excited about the next chance to shoot an episode with them. Can't wait for the next time.

That's how stellar this first meeting was. Episode is live now.

Edit : @ashish.anand7 

@mountaindewin",68313,663804,261,663804,Reel,beerbiceps
"This reel isn't just for my mum. 

It's for every mother out there who is sacrificing for the sake of her child. 

One can never value a mother enough until one sees a bit of life. Unfortunately this usually happens post age 25.

So if you're a mom who is working hard for your child's future, just know that ONE day... it's all going to be worth it. 

Thank you for what you do, moms. 

For many of us, we're not able to express it, but every day is Mother's Day. 

For those of you who don't know yet, Sunday is Mother's Day. Do something special for her. 

And for those of you who don't get along with your mum for whatever reason, remember... parents are also growing up along with us. 

Forgive her for what you may hold against her, she knows she's not perfect. 

But she's always going to try to do better. Motherhood is not easy, help her out by simply giving her your TIME regularly. A phone call, a deep conversation, a tight hug.

Go make peace with your mum if that is what your soul is telling you to do. 

But if you're already at peace with her... then please pamper the heck out of her. At least on this weekend.

For me, there's only one reason to give every day my best shot. And that reason is my first love, Dr. Swati Allahbadia.

No joy from money, fame or awards compares to the joy of seeing my mum feel taken care of.

Could never thank her enough but I guess these emo social media reels help a man express himself better...

Happy Mother's Day to every mum out there. 

Paeri pauna, maa ♥️

#mothersday #mother #maa #family",587514,3121461,3581,3121461,Reel,beerbiceps
"HE HESITATED.

If only for a brief 5-10 minutes during his shave.

“Kya aap apni shave ke baare mein sochte ho?”

My life may be intense. Gruelling. Death grip oriented. 

Every podcast is a ball I must hit out of the ground.

But every pre podcast shave. Oh every easy going, juicy stroke of my razor...

It’s between shaving & meditation for me now... thanks to the smoothness and comfort mei khaas Gillette Mach 3. 

So good that it makes me hesitate...

Edit : @ig_niraj___ 

@gilletteindia 
#Gillette #shaving #ad",67657,621590,981,621590,Reel,beerbiceps
"Punjabis know how to give away their love to the world. 

But who will give us any love? Comment with a ""♥️"" to give love to sweet Punjabi men.

Key word : Sweet.

Our mothers have a tendency to spoil us. 
Fortunately, for most of us, our fathers whack the shit out of.

What separates a good Punjabi guy from a great Punjabi guy are his father's beatings. 

Beatings create ""sweet"" Punjabi men.

Love language? What's that? We do all 6.

- Acts of service.
- Quality time.
- Words of affirmation.
- Physical touch.
- Gifts.
- Cooking elaborate meals for you where each spice and each texture is thought about, to cater to the heavens of your palette babe.

Kohli, Diljit, Aujla, Shubman, Hrithik, Shahid, Ranbir, Guru, Yuvi, you name it. All have one love in common : Chhole bhature.

Hold your hand tenderly with these same hands that are capable of murder. 

Some times, Lord alone knows if we're more warrior or more ""cuddling service professionals"".

I guess only our wives will know...

So ladies, choose wisely, choose Punjabi.

Shoutout to my main man @imkalera for the ear worm of the year. Boomshakalaka Punjab Kings, everyone's second team thanks to their brotherly Punjabi friends.",298506,2932699,4878,2932699,Reel,beerbiceps
"Caption for ""Non-Hindus"" : 

1. ""Hinduism"" is not a religion in the fundamental sense of the word ""religion"".

2. It is a set of philosophies & thought processes. Multiple ancient texts govern how modern Hindus think.

3. There are no strict rules. But as is the case with all faiths, we have our share of extremists as well. 

4. Extremists in my eyes give Hinduism a bad name in the modern day. 

How most Hindus feel : Whether it's Islam, Christianity, Sikhi, Buddhism, Jainism, Judaisam or even the so called ""Pagan faiths"" of tribals... 

You'll always find Hindus who will bow down in respect to all of these. Most of us would be happy to come to your place of worship and bow our head in divine reverence. 

Hinduism, when you study it enough speaks repeatedly about different pathways to the same force we call ""God"".

5. Many Hindus hold pain of the past millennium in their heart. But this pain is fading rapidly with the younger generation. 

Where there is generational trauma, some anger always originates. But for the most of us, we care too much about the present of our nation. We look towards a secular, ambitious future with INDIAN people of all faiths ♥️🇮🇳

6. Study some of our texts for life guidance. Follow all your faith's practices but also GAIN from the gifts of ancient Indian culture. 

In my experience, inter religious studies always improve empathy and the quality of life.

Here are some text names and why they should be studied :

1. Bhagavad Geeta : For psychological and emotional guidance to help you navigate tough times.

2. Garud Purana : For an in depth look into ""after-life"" philosophy. Death is the theme, detachment is the lesson.

3. Tantra Shastra (look up books by Rajarshi Nandy) : For a mind bending journey into ancient India and the reasons behind elaborate prayer rituals. 

4. Autobiography of a Yogi : Yogananda Paramhansa's legendary writings. Will teach you about how you can potentially evolve into a state of higher consciousness in this lifetime itself. Steve Jobs & Virat Kohli's favourite book.

Drop your recommendations in the comments below. Hope this comment section is full of love from different parts of the globe 🌏🤍

One love.",2847647,15264307,28811,15264307,Reel,beerbiceps
"Share this with ALL Indian cricket team fans 🏏

BHARAT MATA KI JAI!!! 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳❤️‍🔥

This episode of @theranveershowpodcast with the enigmatic @sreesanthnair36 will release on Friday, the 3rd of May.

Edit : @akshattiiwari 

#cricket #indiancricket #t20worldcup",868807,5682537,1851,5682537,Reel,beerbiceps
"Fashion bhaiyya is back!!!

Its 2017 all over again.

But this time, its post my 20s, post multiple medical podcasts and post going through all possible guy problems.

Bhaiyya’s number 1 recommendation this summer : Use sunscreen.

Scientifically proven to protect & enhance skin quality in the long term.

Just make sure you use the right one.

My recommendation: @wowskinscienceindia ‘s new and improved Sunscreen.

3 variants - For oily skin, For dry skin, For all types.

Check it out on www.buywow.in

Fashion bhaiyya signing off.

Edit : @ashish.anand7 

#ad",42768,623857,247,623857,Reel,beerbiceps
